model_id_train,dataset_id_train,prompt_id_train,subset_id_train,input_type_train,model_id_test,dataset_id_test,prompt_id_test,subset_id_test,input_type_test,layer,fold,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_False__classifier_cut_zero__classifier_cut,direction__center_from_origin_False__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_zero__test_roc_auc,direction__center_from_origin_False__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__train_f1_score,direction__center_from_origin_False__classifier_cut_zero__test_f1_score,direction__center_from_origin_False__classifier_cut_zero__train_precision_score,direction__center_from_origin_False__classifier_cut_zero__test_precision_score,direction__center_from_origin_False__classifier_cut_zero__train_recall_score,direction__center_from_origin_False__classifier_cut_zero__test_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_True__classifier_cut_zero__classifier_cut,direction__center_from_origin_True__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_zero__test_roc_auc,direction__center_from_origin_True__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__train_f1_score,direction__center_from_origin_True__classifier_cut_zero__test_f1_score,direction__center_from_origin_True__classifier_cut_zero__train_precision_score,direction__center_from_origin_True__classifier_cut_zero__test_precision_score,direction__center_from_origin_True__classifier_cut_zero__train_recall_score,direction__center_from_origin_True__classifier_cut_zero__test_recall_score
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,birth_years_4k,base,main,prompt_only,18,0,0.2544744312763214,0.2544744312763214,0.8291792482299043,0.7589974293059126,0.7474489795918368,0.7628083491461101,0.7543424317617866,0.75093399750934,0.7342995169082126,0.7750642673521851,0.7755102040816326,0.0,0.2544744312763214,0.8291792482299043,0.7506426735218509,0.7372448979591837,0.7710914454277286,0.7582159624413145,0.712649945474373,0.7021739130434783,0.839974293059126,0.8239795918367347,-0.5927219390869141,-0.5927219390869141,0.8291792482299043,0.7589974293059126,0.7474489795918368,0.7628083491461101,0.7543424317617866,0.75093399750934,0.7342995169082126,0.7750642673521851,0.7755102040816326,0.0,-0.5927219390869141,0.8291792482299043,0.721401028277635,0.7028061224489796,0.6640836884928323,0.6431852986217458,0.8360975609756097,0.8045977011494253,0.550771208226221,0.5357142857142857
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,birth_years_4k,base,main,prompt_only,18,1,0.1794702708721161,0.1794702708721161,0.8383379419581733,0.7586427656850192,0.7564766839378239,0.76656346749226,0.7632241813602015,0.7422062350119905,0.7426470588235294,0.7925736235595391,0.7849740932642487,0.0,0.1794702708721161,0.8383379419581733,0.7538412291933418,0.7487046632124352,0.7732232379828959,0.7662650602409639,0.7167851284855112,0.7162162162162162,0.8393085787451985,0.8238341968911918,-0.6612341403961182,-0.6612341403961182,0.8383379419581733,0.7586427656850192,0.7564766839378239,0.76656346749226,0.7632241813602015,0.7422062350119905,0.7426470588235294,0.7925736235595391,0.7849740932642487,0.0,-0.6612341403961182,0.8383379419581733,0.7231113956466069,0.6994818652849741,0.6651180797522261,0.6329113924050633,0.8413320274240941,0.8130081300813008,0.5499359795134443,0.5181347150259067
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,birth_years_4k,base,main,prompt_only,18,2,0.19302579760551453,0.19302579760551453,0.8301947266174344,0.7642903018625562,0.7352941176470589,0.7720496894409938,0.7447595561035758,0.7474443776307877,0.719047619047619,0.798330122029544,0.7723785166240409,0.0,0.19302579760551453,0.8301947266174344,0.7569043031470777,0.7276214833759591,0.7757037037037037,0.7520372526193247,0.7200220022002201,0.6901709401709402,0.8407193320488118,0.8260869565217391,-0.6478044986724854,-0.6478044986724854,0.8301947266174344,0.7642903018625562,0.7352941176470589,0.7720496894409938,0.7447595561035758,0.7474443776307877,0.719047619047619,0.798330122029544,0.7723785166240409,0.0,-0.6478044986724854,0.8301947266174344,0.7148362235067437,0.7276214833759591,0.6574074074074074,0.6635071090047393,0.8231884057971014,0.8677685950413223,0.5472061657032755,0.5370843989769821
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,birth_years_4k,base,main,prompt_only,18,3,0.30859827995300293,0.30859827995300293,0.8363530605678078,0.7561448900388098,0.7649253731343284,0.7555123216601816,0.7657992565055762,0.7574772431729518,0.762962962962963,0.7535575679172057,0.7686567164179104,0.0,0.30859827995300293,0.8363530605678078,0.75,0.7611940298507462,0.769046907678518,0.7828054298642534,0.7146029983342588,0.7178423236514523,0.8324708926261319,0.8606965174129353,-0.5291549563407898,-0.5291549563407898,0.8363530605678078,0.7561448900388098,0.7649253731343284,0.7555123216601816,0.7657992565055762,0.7574772431729518,0.762962962962963,0.7535575679172057,0.7686567164179104,0.0,-0.5291549563407898,0.8363530605678078,0.7186287192755498,0.7176616915422885,0.6588235294117647,0.6646971935007385,0.8366533864541833,0.8181818181818182,0.5433376455368694,0.5597014925373134
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,birth_years_4k,base,main,prompt_only,18,4,0.2466312199831009,0.2466312199831009,0.8468292888854492,0.7552514322087842,0.7440318302387268,0.7576426095178065,0.7416331994645248,0.7503121098626716,0.7486486486486487,0.7651177593889242,0.7347480106100795,0.0,0.2466312199831009,0.8468292888854492,0.7463399108847868,0.7559681697612732,0.7659324522760647,0.7659033078880407,0.7110141766630316,0.7359413202933985,0.83004455760662,0.7984084880636605,-0.5735145807266235,-0.5735145807266235,0.8468292888854492,0.75493316359007,0.7427055702917772,0.7570977917981072,0.739946380697051,0.7504690431519699,0.7479674796747967,0.7638446849140674,0.7320954907161804,0.0,-0.5735145807266235,0.8468292888854492,0.7154678548695098,0.7148541114058355,0.6561538461538462,0.6469622331691297,0.8289601554907677,0.8491379310344828,0.5429662635264163,0.5225464190981433
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,cities_10k,base,main,prompt_only,18,0,0.2544744312763214,0.2544744312763214,0.8328205406410812,0.7589974293059126,0.53248031496063,0.7628083491461101,0.12199630314232902,0.75093399750934,1.0,0.7750642673521851,0.06496062992125984,0.0,0.2544744312763214,0.8328205406410812,0.7506426735218509,0.5669291338582677,0.7710914454277286,0.24914675767918087,0.712649945474373,0.9358974358974359,0.839974293059126,0.1437007874015748,-0.5927219390869141,-0.5927219390869141,0.8328205406410812,0.7589974293059126,0.53248031496063,0.7628083491461101,0.12199630314232902,0.75093399750934,1.0,0.7750642673521851,0.06496062992125984,0.0,-0.5927219390869141,0.8328205406410812,0.721401028277635,0.5009842519685039,0.6640836884928323,0.003929273084479371,0.8360975609756097,1.0,0.550771208226221,0.001968503937007874
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,cities_10k,base,main,prompt_only,18,1,0.1794702708721161,0.1794702708721161,0.8041646574306976,0.7586427656850192,0.5279783393501805,0.76656346749226,0.11505922165820642,0.7422062350119905,0.918918918918919,0.7925736235595391,0.061371841155234655,0.0,0.1794702708721161,0.8041646574306976,0.7538412291933418,0.5433212996389891,0.7732232379828959,0.1864951768488746,0.7167851284855112,0.8529411764705882,0.8393085787451985,0.10469314079422383,-0.6612341403961182,-0.6612341403961182,0.8041646574306976,0.7586427656850192,0.5279783393501805,0.76656346749226,0.11505922165820642,0.7422062350119905,0.918918918918919,0.7925736235595391,0.061371841155234655,0.0,-0.6612341403961182,0.8041646574306976,0.7231113956466069,0.5,0.6651180797522261,0.0,0.8413320274240941,0.0,0.5499359795134443,0.0
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,cities_10k,base,main,prompt_only,18,2,0.19302579760551453,0.19302579760551453,0.7895760133509843,0.7642903018625562,0.5209471766848816,0.7720496894409938,0.08680555555555555,0.7474443776307877,0.9259259259259259,0.798330122029544,0.04553734061930783,0.0,0.19302579760551453,0.7895760133509843,0.7569043031470777,0.5418943533697632,0.7757037037037037,0.16859504132231404,0.7200220022002201,0.9107142857142857,0.8407193320488118,0.09289617486338798,-0.6478044986724854,-0.6478044986724854,0.7895793311900093,0.7642903018625562,0.5209471766848816,0.7720496894409938,0.08680555555555555,0.7474443776307877,0.9259259259259259,0.798330122029544,0.04553734061930783,0.0,-0.6478044986724854,0.7895793311900093,0.7148362235067437,0.5,0.6574074074074074,0.0,0.8231884057971014,0.0,0.5472061657032755,0.0
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,cities_10k,base,main,prompt_only,18,3,0.30859827995300293,0.30859827995300293,0.7923570781607969,0.7561448900388098,0.5091240875912408,0.7555123216601816,0.04609929078014184,0.7574772431729518,0.8125,0.7535575679172057,0.023722627737226276,0.0,0.30859827995300293,0.7923570781607969,0.75,0.541058394160584,0.769046907678518,0.17944535073409462,0.7146029983342588,0.8461538461538461,0.8324708926261319,0.10036496350364964,-0.5291549563407898,-0.5291549563407898,0.7923604081197719,0.7561448900388098,0.5091240875912408,0.7555123216601816,0.04609929078014184,0.7574772431729518,0.8125,0.7535575679172057,0.023722627737226276,0.0,-0.5291549563407898,0.7923604081197719,0.7186287192755498,0.5,0.6588235294117647,0.0,0.8366533864541833,0.0,0.5433376455368694,0.0
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,cities_10k,base,main,prompt_only,18,4,0.2466312199831009,0.2466312199831009,0.7754716981132075,0.7552514322087842,0.5179245283018868,0.7576426095178065,0.08258527827648116,0.7503121098626716,0.8518518518518519,0.7651177593889242,0.04339622641509434,0.0,0.2466312199831009,0.7754716981132075,0.7463399108847868,0.55,0.7659324522760647,0.20100502512562815,0.7110141766630316,0.8955223880597015,0.83004455760662,0.11320754716981132,-0.5735145807266235,-0.5735145807266235,0.7754716981132075,0.75493316359007,0.5179245283018868,0.7570977917981072,0.08258527827648116,0.7504690431519699,0.8518518518518519,0.7638446849140674,0.04339622641509434,0.0,-0.5735145807266235,0.7754716981132075,0.7154678548695098,0.5,0.6561538461538462,0.0,0.8289601554907677,0.0,0.5429662635264163,0.0
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,gsm8k,base_3_shot,main,prompt_only,18,0,0.2544744312763214,0.2544744312763214,0.6763723633419596,0.7589974293059126,0.5,0.7628083491461101,0.0,0.75093399750934,0.0,0.7750642673521851,0.0,0.0,0.2544744312763214,0.6763723633419596,0.7506426735218509,0.5209125475285171,0.7710914454277286,0.08695652173913043,0.712649945474373,0.9230769230769231,0.839974293059126,0.045627376425855515,-0.5927219390869141,-0.5927219390869141,0.6763723633419596,0.7589974293059126,0.5,0.7628083491461101,0.0,0.75093399750934,0.0,0.7750642673521851,0.0,0.0,-0.5927219390869141,0.6763723633419596,0.721401028277635,0.5,0.6640836884928323,0.0,0.8360975609756097,0.0,0.550771208226221,0.0
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,gsm8k,base_3_shot,main,prompt_only,18,1,0.1794702708721161,0.1794702708721161,0.6495726495726496,0.7586427656850192,0.5,0.76656346749226,0.0,0.7422062350119905,0.0,0.7925736235595391,0.0,0.0,0.1794702708721161,0.6495726495726496,0.7538412291933418,0.5192307692307693,0.7732232379828959,0.10358565737051793,0.7167851284855112,0.7647058823529411,0.8393085787451985,0.05555555555555555,-0.6612341403961182,-0.6612341403961182,0.6495726495726496,0.7586427656850192,0.5,0.76656346749226,0.0,0.7422062350119905,0.0,0.7925736235595391,0.0,0.0,-0.6612341403961182,0.6495726495726496,0.7231113956466069,0.5,0.6651180797522261,0.0,0.8413320274240941,0.0,0.5499359795134443,0.0
ministral_8b_instruct,birth_years_4k,base,main,prompt_only,ministral_8b_instruct,gsm8k,base_3_shot,main,prompt_only,18,2,0.19302579760551453,0.19302579760551453,0.6848396694214876,0.7642903018625562,0.5,0.7720496894409938,0.0,0.7474443776307877,0.0,0.798330122029544,0.0,0.0,0.19302579760551453,0.6848396694214876,0.7569043031470777,0.5145454545454545,0.7757037037037037,0.07612456747404844,0.7200220022002201,0.7857142857142857,0.8407193320488118,0.04,-0.6478044986724854,-0.6478044986724854,0.6848396694214876,0.7642903018625562,0.5,0.7720496894409938,0.0,0.7474443776307877,0.0,0.798330122029544,0.0,0.0,-0.6478044986724854,0.6848396694214876,0.7148362235067437,0.5,0.6574074074074074,0.0,0.8231884057971014,0.0,0.5472061657032755,0.0
