model,dataset,aucs
llama3.3_70b,gsm8k,"[np.float32(0.17965016), np.float32(0.18698701), np.float32(0.16794907), np.float32(0.17160928), np.float32(0.13016056), np.float32(0.109197035), np.float32(0.09029199), np.float32(0.08530749), np.float32(0.08084826), np.float32(0.07343518), np.float32(0.064329565), np.float32(0.059277028), np.float32(0.06006341), np.float32(0.056352228), np.float32(0.053636156), np.float32(0.05144044), np.float32(0.05154963), np.float32(0.052757498), np.float32(0.05428632), np.float32(0.06215162)]"
llama3.3_70b,trivia_qa_2_60k,"[np.float32(0.046347305), np.float32(0.04672653), np.float32(0.04897161), np.float32(0.053239327), np.float32(0.07048016), np.float32(0.07360801), np.float32(0.07378961), np.float32(0.08622899), np.float32(0.123059385), np.float32(0.1236236), np.float32(0.09690698), np.float32(0.08011833), np.float32(0.07142872), np.float32(0.067616746), np.float32(0.06721115), np.float32(0.06834243), np.float32(0.07142359), np.float32(0.07464102), np.float32(0.0851021), np.float32(0.10334702)]"
llama3.3_70b,birth_years_4k,"[np.float32(0.068409264), np.float32(0.049731687), np.float32(0.13017778), np.float32(0.15531488), np.float32(0.23645021), np.float32(0.22485003), np.float32(0.21108955), np.float32(0.24093837), np.float32(0.28343502), np.float32(0.32413548), np.float32(0.2933256), np.float32(0.2989111), np.float32(0.29423517), np.float32(0.28986388), np.float32(0.28585052), np.float32(0.28691727), np.float32(0.28831485), np.float32(0.2841399), np.float32(0.275903), np.float32(0.27490503)]"
llama3.3_70b,cities_10k,"[np.float32(0.22613804), np.float32(0.20213874), np.float32(0.19047512), np.float32(0.18838759), np.float32(0.28816983), np.float32(0.3196322), np.float32(0.29908815), np.float32(0.27631354), np.float32(0.31386897), np.float32(0.36506116), np.float32(0.31146038), np.float32(0.2581217), np.float32(0.24341924), np.float32(0.23511711), np.float32(0.22610624), np.float32(0.21916984), np.float32(0.21590897), np.float32(0.21842474), np.float32(0.22853455), np.float32(0.24070291)]"
llama3.3_70b,medals_9k,"[np.float32(0.09406521), np.float32(0.111129895), np.float32(0.1317019), np.float32(0.14600603), np.float32(0.18033233), np.float32(0.16300483), np.float32(0.1780618), np.float32(0.24636936), np.float32(0.24036162), np.float32(0.20388252), np.float32(0.15488006), np.float32(0.12549472), np.float32(0.110825606), np.float32(0.101714835), np.float32(0.09758933), np.float32(0.09869487), np.float32(0.10049521), np.float32(0.100691535), np.float32(0.1141053), np.float32(0.12670575)]"
llama3.3_70b,math_operations_6k,"[np.float32(0.27973074), np.float32(0.46092698), np.float32(0.5399859), np.float32(0.587696), np.float32(0.6227459), np.float32(0.64676976), np.float32(0.72735405), np.float32(0.6701776), np.float32(0.7454834), np.float32(0.6200662), np.float32(0.414584), np.float32(0.38950652), np.float32(0.38103515), np.float32(0.36751235), np.float32(0.33761522), np.float32(0.3016773), np.float32(0.28643298), np.float32(0.30066332), np.float32(0.3161582), np.float32(0.31050068)]"
