model,dataset,aucs
deepseek_qwen_32b,gsm8k,"[np.float32(0.069896765), np.float32(0.11223771), np.float32(0.109825164), np.float32(0.12615494), np.float32(0.13269313), np.float32(0.122170374), np.float32(0.1219461), np.float32(0.142358), np.float32(0.15076816), np.float32(0.14800215), np.float32(0.12003461), np.float32(0.10947144), np.float32(0.093133755), np.float32(0.07885529), np.float32(0.07116133), np.float32(0.073324695)]"
deepseek_qwen_32b,trivia_qa_2_60k,"[np.float32(0.045412343), np.float32(0.039351597), np.float32(0.04428287), np.float32(0.046362665), np.float32(0.048633944), np.float32(0.05406455), np.float32(0.05555116), np.float32(0.0634767), np.float32(0.05775594), np.float32(0.063955724), np.float32(0.068726346), np.float32(0.084751315), np.float32(0.08638115), np.float32(0.06666598), np.float32(0.05374026), np.float32(0.05601059)]"
deepseek_qwen_32b,birth_years_4k,"[np.float32(0.031870868), np.float32(0.10278816), np.float32(0.1418763), np.float32(0.14174426), np.float32(0.15040927), np.float32(0.18592705), np.float32(0.24622115), np.float32(0.28785926), np.float32(0.30141348), np.float32(0.33885306), np.float32(0.35058498), np.float32(0.38475484), np.float32(0.4437727), np.float32(0.36146173), np.float32(0.29216945), np.float32(0.23768437)]"
deepseek_qwen_32b,cities_10k,"[np.float32(0.093089774), np.float32(0.13776669), np.float32(0.1292695), np.float32(0.13668998), np.float32(0.15940705), np.float32(0.20434472), np.float32(0.27069747), np.float32(0.3464533), np.float32(0.33411393), np.float32(0.33679897), np.float32(0.36654878), np.float32(0.42039013), np.float32(0.4776925), np.float32(0.32294646), np.float32(0.25689998), np.float32(0.25051647)]"
deepseek_qwen_32b,medals_9k,"[np.float32(0.065775506), np.float32(0.07738242), np.float32(0.06496909), np.float32(0.05816591), np.float32(0.058970246), np.float32(0.060166445), np.float32(0.07329554), np.float32(0.069962576), np.float32(0.071596436), np.float32(0.072383404), np.float32(0.081469014), np.float32(0.087899484), np.float32(0.092676565), np.float32(0.072896264), np.float32(0.06693247), np.float32(0.066845305)]"
deepseek_qwen_32b,math_operations_6k,"[np.float32(0.33281112), np.float32(0.35933468), np.float32(0.4031114), np.float32(0.41829517), np.float32(0.563344), np.float32(0.62099004), np.float32(0.7454334), np.float32(0.7801733), np.float32(0.7728034), np.float32(0.78518206), np.float32(0.6995811), np.float32(0.686965), np.float32(0.69741255), np.float32(0.5858685), np.float32(0.58972794), np.float32(0.5571888)]"
