model,dataset,aucs
ministral_8b_instruct,gsm8k,"[np.float32(0.09452718), np.float32(0.17448173), np.float32(0.16188012), np.float32(0.14075017), np.float32(0.1301496), np.float32(0.14145431), np.float32(0.14703989), np.float32(0.14936092), np.float32(0.13471952), np.float32(0.12989001), np.float32(0.14083341), np.float32(0.13104407), np.float32(0.13307804), np.float32(0.12865981), np.float32(0.12808341), np.float32(0.12457796), np.float32(0.11074654), np.float32(0.090236895)]"
ministral_8b_instruct,trivia_qa_2_60k,"[np.float32(0.04329419), np.float32(0.048649836), np.float32(0.04666292), np.float32(0.045882214), np.float32(0.054006748), np.float32(0.05763171), np.float32(0.06414693), np.float32(0.07639857), np.float32(0.07661086), np.float32(0.072606504), np.float32(0.07145132), np.float32(0.06210292), np.float32(0.05519867), np.float32(0.0520592), np.float32(0.0509185), np.float32(0.05405941), np.float32(0.060331613), np.float32(0.066052765)]"
ministral_8b_instruct,birth_years_4k,"[np.float32(0.04013196), np.float32(0.08199205), np.float32(0.123201475), np.float32(0.18788235), np.float32(0.2568908), np.float32(0.2766897), np.float32(0.31249002), np.float32(0.36842313), np.float32(0.3357717), np.float32(0.31104633), np.float32(0.3200319), np.float32(0.31618676), np.float32(0.32557815), np.float32(0.3382956), np.float32(0.35334483), np.float32(0.36083603), np.float32(0.36541373), np.float32(0.2898581)]"
ministral_8b_instruct,cities_10k,"[np.float32(0.099480696), np.float32(0.16095726), np.float32(0.12908992), np.float32(0.15810853), np.float32(0.23590752), np.float32(0.31205902), np.float32(0.35617262), np.float32(0.41647324), np.float32(0.3472035), np.float32(0.3133919), np.float32(0.32308826), np.float32(0.24672814), np.float32(0.23155496), np.float32(0.2282917), np.float32(0.22065192), np.float32(0.22066927), np.float32(0.22339259), np.float32(0.22535667)]"
ministral_8b_instruct,medals_9k,"[np.float32(0.07297147), np.float32(0.064583346), np.float32(0.08464584), np.float32(0.082527906), np.float32(0.0848041), np.float32(0.09519294), np.float32(0.09941745), np.float32(0.108080484), np.float32(0.10398108), np.float32(0.10559721), np.float32(0.09299409), np.float32(0.088282235), np.float32(0.08450707), np.float32(0.08462808), np.float32(0.085916996), np.float32(0.0875679), np.float32(0.090680525), np.float32(0.09206662)]"
ministral_8b_instruct,math_operations_6k,"[np.float32(0.4870374), np.float32(0.4148471), np.float32(0.44972837), np.float32(0.4443259), np.float32(0.4947102), np.float32(0.54384875), np.float32(0.54688203), np.float32(0.55137527), np.float32(0.48498416), np.float32(0.41535354), np.float32(0.41360345), np.float32(0.4398145), np.float32(0.42015958), np.float32(0.36885247), np.float32(0.3553322), np.float32(0.3387839), np.float32(0.32334882), np.float32(0.3284929)]"
